id, disaster_id, name_of_assessor, county, municipality, code, name_property_owner, street_address,  city,   zip_code, date,lat, lng, location_notes, owner_type, phone_number, home_type, property_type, type_of_disaster, damage_foundation, damage_floor, damage_exterior, damage_interior, damage_plumbing, damage_hvac,damage_roof, damage_electrical, damage_category, flood_insurance, marketvalue_structure, marketvalue_contents, marketvalue_land, insurance_structure, insurance_contents, insurance_land, name_insurance, phone_insurance, disaster_structure, disaster_contents, disaster_land, comments
1,disasterC,Deborah Woods,Allegheny,Banyo,48,Andrew Gray,8 Longview Trail,KhiliomÃ_dhi,,6/17/16,6.75,11.81667,Fundamental 3rd generation utilisation,Maroon,237-(771)158-8545,single_family,type4,flood,0.34,0.02,0.25,0.46,0.91,0.75,0.22,0.22,0.61,FALSE,18474,86371,41751,83822,86334,33796,Todd Fuller,30-(328)310-5851,33153,54146,42084,Adaptive coherent benchmark
2,disasterD,Debra Harvey,Somewhereelse,Tenggong,48,Kathleen Riley,2060 Continental Avenue,KÃ_ti,,7/15/16,-8.1539,112.1326,Monitored zero tolerance hierarchy,Green,62-(886)842-0806,mobile,type2,flood,0.56,0.5,0.22,0.63,0.61,0.24,0.33,0.33,0.04,TRUE,13070,1265,42350,52496,7740,3263,Lori Young,357-(234)421-4365,77449,71824,19502,Enhanced bandwidth-monitored alliance
3,disasterB,Christina Kennedy,Somerset,PalpalÃ¡,5,George Wagner,93645 Truax Place,Sukth,4612,11/14/16,-24.25648,-65.21163,Upgradable tangible alliance,Orange,54-(825)109-0616,mobile,type1,flood,0.38,0.97,0.69,0.22,0.22,0.2,0.89,0.89,0.4,TRUE,11857,90606,68819,2648,99167,93346,Steve Hicks,355-(924)573-0133,95842,37120,92467,Upgradable didactic extranet
4,disasterC,Julie Harper,Allegheny,Venlo,39,Ryan Day,416 Mayfield Place,Timiryazevskiy,5914,9/28/16,51.37,6.1681,Enterprise-wide local artificial intelligence,Red,31-(394)625-4027,single_family,type3,earthquake,0.82,0.5,0.22,0.12,0.92,0.33,0.71,0.71,0.79,FALSE,38377,28182,84872,76588,60066,28712,Kathryn Barnes,7-(315)698-6859,6724,98379,912,Mandatory composite intranet
5,disasterB,Martin Shaw,Somerset,ShkodÃ«r,41,Frances Schmidt,56 Fordem Point,Gurung,,11/28/16,42.06828,19.51258,Object-based context-sensitive analyzer,Puce,355-(664)793-1846,single_family,type1,flood,0.85,0.36,0.99,0.41,0.18,0.85,0.71,0.71,0.1,TRUE,53769,4500,13701,36392,87231,37983,Scott Parker,62-(800)862-0906,46697,29172,8856,Multi-channelled static pricing structure
6,disasterC,Stephanie Garrett,Somewhereelse,Xinshichang,10,Jean Jordan,80251 Jay Avenue,Ambulong,,7/4/16,29.27986,120.80674,Versatile secondary paradigm,Violet,86-(853)545-6396,mobile,type4,flood,0.66,0.77,0.69,0.48,0.29,0.97,0.92,0.92,0.76,FALSE,99434,87151,34953,89527,36944,97906,Joe Woods,63-(199)619-2074,14104,87398,61421,Robust web-enabled archive
7,disasterD,Jesse Gonzales,Allegheny,Golema ReÄçica,16,Evelyn Nichols,3005 Gerald Circle,Carrefour,1219,7/17/16,41.98803,20.94517,Enterprise-wide neutral paradigm,Aquamarine,389-(871)414-1846,multi_family,type3,landslide,0.51,0.63,0.64,0.12,0.28,0.27,0.89,0.89,0.34,FALSE,6768,56767,59583,84117,43404,30007,Theresa Ross,509-(336)735-6742,18536,21860,61137,Implemented heuristic Graphical User Interface
8,disasterA,Anna Evans,Somerset,Takikawa,17,Ashley Fisher,11 Esch Way,ZadnÃ_ Mostek,503-0625,7/10/16,43.55278,141.90639,Ameliorated background emulation,Violet,81-(371)572-7406,mobile,type4,fire,0.82,0.92,0.27,0.11,0.17,0.82,0.19,0.19,0.93,TRUE,20826,68679,93945,72115,39854,32342,Andrew Dean,420-(603)749-2446,73325,71554,41373,Vision-oriented context-sensitive challenge
9,disasterB,Daniel Walker,Allegheny,Bandaran,28,Kenneth Stone,9457 Stang Terrace,Queenstown,,6/18/16,-6.9278,112.057,Programmable encompassing core,Red,62-(402)438-0230,single_family,type3,fire,0.01,0.41,0.98,0.16,0.57,0.13,0.64,0.64,0.03,FALSE,66470,79323,62671,40832,20037,59743,Ashley Jordan,27-(901)704-5296,41378,80385,26266,Advanced value-added complexity
10,disasterC,Russell Green,Somewhereelse,Arapuey,23,Marilyn Banks,91370 Talmadge Avenue,Khust,,2/19/17,9.25934,-70.95248,Up-sized radical strategy,Red,58-(871)266-2662,single_family,type4,flood,0.93,0.67,0.83,0.95,0.85,0.46,0.38,0.38,0.89,TRUE,93537,56411,45403,71426,14018,78534,David Larson,380-(242)294-2648,85364,78840,38716,Fundamental interactive capability
